# EFLAGS Condition Codes Table B-1 Intel Vol1
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Mnemonic | Mnemonic (Alt) | (tttn) Field Code | OF | CF | ZF | (CF OR ZF) | SF | PF | (SF XOR OF) | ((SF XOR OF) OR ZF) |
| O        |                | 0000              | 1  |    |    |            |    |    |             |                     |
| NO       |                | 0001              | 0  |    |    |            |    |    |             |                     |
| B        | NAE            | 0010              |    | 1  |    |            |    |    |             |                     |
| NB       | AE             | 0011              |    | 0  |    |            |    |    |             |                     |
| E        | Z              | 0100              |    |    | 1  |            |    |    |             |                     |
| NE       | NZ             | 0101              |    |    | 0  |            |    |    |             |                     |
| BE       |                | 0110              |    |    |    | 1          |    |    |             |                     |
| NBE      |                | 0111              |    |    |    | 0          |    |    |             |                     |
| S        |                | 1000              |    |    |    |            | 1  |    |             |                     |
| NS       |                | 1001              |    |    |    |            | 0  |    |             |                     |
| P        | PE             | 1010              |    |    |    |            |    | 1  |             |                     |
| NP       | PO             | 1011              |    |    |    |            |    | 0  |             |                     |
| L        | NGE            | 1100              |    |    |    |            |    |    | 1           |                     |
| NL       | GE             | 1101              |    |    |    |            |    |    | 0           |                     |
| LE       | NG             | 1110              |    |    |    |            |    |    |             | 1                   |
| NLE      | G              | 1111              |    |    |    |            |    |    |             | 0                   |
