| Opcode                    | Instruction                                     | Op/En | 64/32 bit Mode Support | CPUID Feature Flag | Description                                                                                                                                                          |
| NP 0F 6B / r 1            | PACKSSDW mm1, mm2/m64                           | A     | V/V                    | MMX                | Converts 2 packed signed doubleword integers from mm1 and from mm2/m64 into 4 packed signed word integers in mm1 using signed saturation.                            |
| 66 0F 6B / r              | PACKSSDW xmm1, xmm2/m128                        | A     | V/V                    | SSE2               | Converts 4 packed signed doubleword integers from xmm1 and from xxm2/m128 into 8 packed signed word integers in xxm1 using signed saturation.                        |
| VEX.128.66.0F.WIG 6B /r   | VPACKSSDW xmm1,xmm2, xmm3/m128                  | B     | V/V                    | AVX                | Converts 4 packed signed doubleword integers from xmm2 and from xmm3/m128 into 8 packed signed word integers in xmm1 using signed saturation.                        |
| VEX.256.66.0F.WIG 6B /r   | VPACKSSDW ymm1, ymm2, ymm3/m256                 | B     | V/V                    | AVX2               | Converts 8 packed signed doubleword integers from ymm2 and from ymm3/m256 into 16 packed signed word integers in ymm1 using signed saturation.                       |
| EVEX.128.66.0F.W0 6B / r  | VPACKSSDW xmm1 {k1}{z}, xmm2, xmm3/m128/m32bcst | D     | V/V                    | AVX512VL AVX512BW  | Converts packed signed doubleword integers from xmm2 and from xmm3/m128/m32bcst into packed signed word integers in xmm1 using signed saturation under writemask k1. |
