# AsmTRegBitsGp - Intel Vol2A, Table 3-1
------------------------------------------------------
| Register | Size | REX.B | FieldCode | 64-bit Only |
| AL       | 8    | N     | 000       | F           |
| CL       | 8    | N     | 001       | F           |
| DL       | 8    | N     | 010       | F           |
| BL       | 8    | N     | 011       | F           |
| SPL      | 8    | Y     | 100       | F           |
| BPL      | 8    | Y     | 101       | F           |
| SIL      | 8    | Y     | 110       | F           |
| DIL      | 8    | Y     | 111       | F           |
| AH       | 8    | NE    | 100       | F           |
| CH       | 8    | NE    | 101       | F           |
| DH       | 8    | NE    | 110       | F           |
| BH       | 8    | NE    | 111       | F           |
| AX       | 16   | N     | 000       | F           |
| CX       | 16   | N     | 001       | F           |
| DX       | 16   | N     | 010       | F           |
| BX       | 16   | N     | 011       | F           |
| SP       | 16   | N     | 100       | F           |
| BP       | 16   | N     | 101       | F           |
| SI       | 16   | N     | 110       | F           |
| DI       | 16   | N     | 111       | F           |
| EAX      | 32   | N     | 000       | F           |
| ECX      | 32   | N     | 001       | F           |
| EDX      | 32   | N     | 010       | F           |
| EBX      | 32   | N     | 011       | F           |
| ESP      | 32   | N     | 100       | F           |
| EBP      | 32   | N     | 101       | F           |
| ESI      | 32   | N     | 110       | F           |
| EDI      | 32   | N     | 111       | F           |
| RAX      | 64   | N     | 000       | T           |
| RCX      | 64   | N     | 001       | T           |
| RDX      | 64   | N     | 010       | T           |
| RBX      | 64   | N     | 011       | T           |
| RSP      | 64   | N     | 100       | T           |
| RBP      | 64   | N     | 101       | T           |
| RSI      | 64   | N     | 110       | T           |
| RDI      | 64   | N     | 111       | T           |
| R8L      | 8    | Y     | 000       | T           |
| R9L      | 8    | Y     | 001       | T           |
| R10L     | 8    | Y     | 010       | T           |
| R11L     | 8    | Y     | 011       | T           |
| R12L     | 8    | Y     | 100       | T           |
| R13L     | 8    | Y     | 101       | T           |
| R14L     | 8    | Y     | 110       | T           |
| R15L     | 8    | Y     | 111       | T           |
| R8W      | 16   | Y     | 000       | T           |
| R9W      | 16   | Y     | 001       | T           |
| R10W     | 16   | Y     | 010       | T           |
| R11W     | 16   | Y     | 011       | T           |
| R12W     | 16   | Y     | 100       | T           |
| R13W     | 16   | Y     | 101       | T           |
| R14W     | 16   | Y     | 110       | T           |
| R15W     | 16   | Y     | 111       | T           |
| R8D      | 32   | Y     | 000       | T           |
| R9D      | 32   | Y     | 001       | T           |
| R10D     | 32   | Y     | 010       | T           |
| R11D     | 32   | Y     | 011       | T           |
| R12D     | 32   | Y     | 100       | T           |
| R13D     | 32   | Y     | 101       | T           |
| R14D     | 32   | Y     | 110       | T           |
| R15D     | 32   | Y     | 111       | T           |
| R8       | 64   | Y     | 000       | T           |
| R9       | 64   | Y     | 001       | T           |
| R10      | 64   | Y     | 010       | T           |
| R11      | 64   | Y     | 011       | T           |
| R12      | 64   | Y     | 100       | T           |
| R13      | 64   | Y     | 101       | T           |
| R14      | 64   | Y     | 110       | T           |
| R15      | 64   | Y     | 111       | T           |
