| Index | Instruction       | Sig                                           | Arch | OpCode                        | Encoding | Prefix | OpCodeByte | L   | W   | PP   | MM   | x67   | ModR | ModRM | VsibReg | VsibSize | KMask | ZMask |
| 81    | andnpd            | andnpd xmm,xmm/m                              | ANY  | 66 0F 55 /r                   | RM       |        | 55         |     |     | 66   | 0F   | false | r    |       |         | -1       | false | false |
| 82    | andnps            | andnps xmm,xmm/m                              | ANY  | 0F 55 /r                      | RM       |        | 55         |     |     |      | 0F   | false | r    |       |         | -1       | false | false |
| 83    | andpd             | andpd xmm,xmm/m                               | ANY  | 66 0F 54 /r                   | RM       |        | 54         |     |     | 66   | 0F   | false | r    |       |         | -1       | false | false |
| 84    | andps             | andps xmm,xmm/m                               | ANY  | 0F 54 /r                      | RM       |        | 54         |     |     |      | 0F   | false | r    |       |         | -1       | false | false |
| 85    | arpl              | arpl r16/m,r16                                | X86  | 63 /r                         | MR       |        | 63         |     |     |      |      | false | r    |       |         | -1       | false | false |
| 86    | bextr             | bextr r32,r32/m,r32                           | ANY  | VEX.LZ.0F38.W0 F7 /r          | RMV      | VEX    | F7         | 128 | W0  |      | 0F38 | false | r    |       |         | -1       | false | false |
| 87    | bextr             | bextr r64,r64/m,r64                           | X64  | VEX.LZ.0F38.W1 F7 /r          | RMV      | VEX    | F7         | 128 | W1  |      | 0F38 | false | r    |       |         | -1       | false | false |
| 88    | blcfill           | blcfill r32,r32/m                             | ANY  | XOP.LZ.M09.W0 01 /1           | VM       | XOP    | 01         | 128 | W0  |      | M09  | false | 1    |       |         | -1       | false | false |
| 89    | blcfill           | blcfill r64,r64/m                             | X64  | XOP.LZ.M09.W1 01 /1           | VM       | XOP    | 01         | 128 | W1  |      | M09  | false | 1    |       |         | -1       | false | false |
| 90    | blci              | blci r32,r32/m                                | ANY  | XOP.LZ.M09.W0 02 /6           | VM       | XOP    | 02         | 128 | W0  |      | M09  | false | 6    |       |         | -1       | false | false |
| 91    | blci              | blci r64,r64/m                                | X64  | XOP.LZ.M09.W1 02 /6           | VM       | XOP    | 02         | 128 | W1  |      | M09  | false | 6    |       |         | -1       | false | false |
| 92    | blcic             | blcic r32,r32/m                               | ANY  | XOP.LZ.M09.W0 01 /5           | VM       | XOP    | 01         | 128 | W0  |      | M09  | false | 5    |       |         | -1       | false | false |
| 93    | blcic             | blcic r64,r64/m                               | X64  | XOP.LZ.M09.W1 01 /5           | VM       | XOP    | 01         | 128 | W1  |      | M09  | false | 5    |       |         | -1       | false | false |
| 94    | blcmsk            | blcmsk r32,r32/m                              | ANY  | XOP.LZ.M09.W0 02 /1           | VM       | XOP    | 02         | 128 | W0  |      | M09  | false | 1    |       |         | -1       | false | false |
| 95    | blcmsk            | blcmsk r64,r64/m                              | X64  | XOP.LZ.M09.W1 02 /1           | VM       | XOP    | 02         | 128 | W1  |      | M09  | false | 1    |       |         | -1       | false | false |
| 96    | blcs              | blcs r32,r32/m                                | ANY  | XOP.LZ.M09.W0 01 /3           | VM       | XOP    | 01         | 128 | W0  |      | M09  | false | 3    |       |         | -1       | false | false |
| 97    | blcs              | blcs r64,r64/m                                | X64  | XOP.LZ.M09.W1 01 /3           | VM       | XOP    | 01         | 128 | W1  |      | M09  | false | 3    |       |         | -1       | false | false |
| 98    | blendpd           | blendpd xmm,xmm/m,ib/ub                       | ANY  | 66 0F 3A 0D /r ib             | RMI      |        | 0D         |     |     | 66   | 0F3A | false | r    |       |         | -1       | false | false |
| 99    | blendps           | blendps xmm,xmm/m,ib/ub                       | ANY  | 66 0F 3A 0C /r ib             | RMI      |        | 0C         |     |     | 66   | 0F3A | false | r    |       |         | -1       | false | false |
| 100   | blendvpd          | blendvpd xmm,xmm/m,[xmm0]                     | ANY  | 66 0F 38 15 /r                | RM       |        | 15         |     |     | 66   | 0F38 | false | r    |       |         | -1       | false | false |
| 101   | blendvps          | blendvps xmm,xmm/m,[xmm0]                     | ANY  | 66 0F 38 14 /r                | RM       |        | 14         |     |     | 66   | 0F38 | false | r    |       |         | -1       | false | false |
