# Opcodes
| Opcode               | Instruction      | Op/En | 64-Bit Mode | Compat/Leg Mode | Description                 |
| F2 0F 38 F0 /r       | CRC32 r32, r/m8  | RM    | Valid       | Valid           | Accumulate CRC32 on r/m8 .  |
| F2 REX 0F 38 F0 /r   | CRC32 r32, r/m8* | RM    | Valid       | N.E.            | Accumulate CRC32 on r/m8.   |
| F2 0F 38 F1 /r       | CRC32 r32, r/m16 | RM    | Valid       | Valid           | Accumulate CRC32 on r/m16 . |
| F2 0F 38 F1 /r       | CRC32 r32, r/m32 | RM    | Valid       | Valid           | Accumulate CRC32 on r/m32.  |
| F2 REX.W 0F 38 F0 /r | CRC32 r64, r/m8  | RM    | Valid       | N.E.            | Accumulate CRC32 on r/m8.   |
| F2 REX.W 0F 38 F1 /r | CRC32 r64, r/m64 | RM    | Valid       | N.E.            | Accumulate CRC32 on r/m64.  |

# Encoding
| Op/En | Operand 1        | Operand 2     | Operand 3 | Operand 4 |
| RM    | ModRM:reg (r, w) | ModRM:r/m (r) | NA        | NA        |
