| Opcode               | Instruction             | Op/En | 64/32 -bit Mode | CPUID Feature Flag | Description                                                                        |
| VEX.LZ.0F38.W0 F7 /r | BEXTR r32a, r/m32, r32b | RMV   | V/V             | BMI1               | Contiguous bitwise extract from r/m32 using r32b as control; store result in r32a. |
| VEX.LZ.0F38.W1 F7 /r | BEXTR r64a, r/m64, r64b | RMV   | V/N.E.          | BMI1               | Contiguous bitwise extract from r/m64 using r64b as control; store result in r64a  |
