# http://ref.x86asm.net/geek32-abc.html
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| mnemonic            | op1  | op2  | op3  | op4 | iext      | pf     | 0F     | po     | so     | flds     | o     | proc     | st       | m     | rl      | x   | grp1        | grp2                 | grp3         | tested f     | modif f       | def f         | undef f      | f values                                         | description, notes                                                          |
| CMOVBE              | Gv   | Ev   |      |     | /2.       | /2.    | /2. 0F | /2. 46 | /2.    | /2. tTTn | /2. r | /2. PP+  | /2.      | /2.   | /2.     | /2. | /2. gen     | /2. datamov          | /2.          | /2. ....z..c | /2.           | /2.           | /2.          | /2.                                              | /2. Conditional Move - below or equal/not above (CF=1 OR ZF=1)              |
| CMOVNA              | Gv   | Ev   |      |     |           |        |        |        |        |          |       |          |          |       |         |     |             |                      |              |              |               |               |              |                                                  |                                                                             |
| CMOVL               | Gv   | Ev   |      |     | /2.       | /2.    | /2. 0F | /2. 4C | /2.    | /2. TTtn | /2. r | /2. PP+  | /2.      | /2.   | /2.     | /2. | /2. gen     | /2. datamov          | /2.          | /2. o..s.... | /2.           | /2.           | /2.          | /2.                                              | /2. Conditional Move - less/not greater (SF!=OF)                            |
| CMOVNGE             | Gv   | Ev   |      |     |           |        |        |        |        |          |       |          |          |       |         |     |             |                      |              |              |               |               |              |                                                  |                                                                             |
| CMOVLE              | Gv   | Ev   |      |     | /2.       | /2.    | /2. 0F | /2. 4E | /2.    | /2. TTTn | /2. r | /2. PP+  | /2.      | /2.   | /2.     | /2. | /2. gen     | /2. datamov          | /2.          | /2. o..sz... | /2.           | /2.           | /2.          | /2.                                              | /2. Conditional Move - less or equal/not greater ((ZF=1) OR (SF!=OF))       |
| CMOVNG              | Gv   | Ev   |      |     |           |        |        |        |        |          |       |          |          |       |         |     |             |                      |              |              |               |               |              |                                                  |                                                                             |
| CMOVNB              | Gv   | Ev   |      |     | /3.       | /3.    | /3. 0F | /3. 43 | /3.    | /3. ttTN | /3. r | /3. PP+  | /3.      | /3.   | /3.     | /3. | /3. gen     | /3. datamov          | /3.          | /3. .......c | /3.           | /3.           | /3.          | /3.                                              | /3. Conditional Move - not below/above or equal/not carry (CF=0)            |
| CMOVAE              | Gv   | Ev   |      |     |           |        |        |        |        |          |       |          |          |       |         |     |             |                      |              |              |               |               |              |                                                  |                                                                             |
| CMOVNC              | Gv   | Ev   |      |     |           |        |        |        |        |          |       |          |          |       |         |     |             |                      |              |              |               |               |              |                                                  |                                                                             |
| CMOVNBE             | Gv   | Ev   |      |     | /2.       | /2.    | /2. 0F | /2. 47 | /2.    | /2. tTTN | /2. r | /2. PP+  | /2.      | /2.   | /2.     | /2. | /2. gen     | /2. datamov          | /2.          | /2. ....z..c | /2.           | /2.           | /2.          | /2.                                              | /2. Conditional Move - not below or equal/above (CF=0 AND ZF=0)             |
| CMOVA               | Gv   | Ev   |      |     |           |        |        |        |        |          |       |          |          |       |         |     |             |                      |              |              |               |               |              |                                                  |                                                                             |
| CMOVNL              | Gv   | Ev   |      |     | /2.       | /2.    | /2. 0F | /2. 4D | /2.    | /2. TTtN | /2. r | /2. PP+  | /2.      | /2.   | /2.     | /2. | /2. gen     | /2. datamov          | /2.          | /2. o..s.... | /2.           | /2.           | /2.          | /2.                                              | /2. Conditional Move - not less/greater or equal (SF=OF)                    |
| CMOVGE              | Gv   | Ev   |      |     |           |        |        |        |        |          |       |          |          |       |         |     |             |                      |              |              |               |               |              |                                                  |                                                                             |
