| Class               | Category      | Extension     | IsaSet        | BaseCode    | Mod       | Reg       | Pattern                                                                                             | Operands
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| JMP                 | UNCOND_BR     | BASE          | I86           | ff          | mm        | 0b100     | 0xFF MOD[mm] MOD!=3 REG[0b100] RM[nnn] DF64() IMMUNE66_LOOP64() MODRM()                             | MEM0:r:v REG0=rIP():w:SUPP
| JMP                 | UNCOND_BR     | BASE          | I86           | ff          | 0b11      | 0b100     | 0xFF MOD[0b11] MOD=3 REG[0b100] RM[nnn] DF64() IMMUNE66_LOOP64()                                    | REG0=GPRv_B():r REG1=rIP():w:SUPP
| JMP                 | UNCOND_BR     | BASE          | I86           | e9          |           |           | 0xE9 not64 BRDISPz()                                                                                | RELBR:r:z REG0=XED_REG_EIP:rw:SUPP
| JMP                 | UNCOND_BR     | BASE          | I86           | e9          |           |           | 0xE9 mode64 FORCE64() BRDISP32()                                                                    | RELBR:r:d REG0=XED_REG_RIP:rw:SUPP
| JMP                 | UNCOND_BR     | BASE          | I86           | eb          |           |           | 0xEB not64 BRDISP8()                                                                                | RELBR:r:b:i8 REG0=XED_REG_EIP:rw:SUPP
| JMP                 | UNCOND_BR     | BASE          | I86           | eb          |           |           | 0xEB mode64 FORCE64() BRDISP8()                                                                     | RELBR:r:b:i8 REG0=XED_REG_RIP:rw:SUPP
| JMP_FAR             | UNCOND_BR     | BASE          | I86           | ff          | mm        | 0b101     | 0xFF MOD[mm] MOD!=3 REG[0b101] RM[nnn] MODRM()                                                      | MEM0:r:p2 REG0=rIP():w:SUPP
| JMP_FAR             | UNCOND_BR     | BASE          | I86           | ea          |           |           | 0xEA not64 BRDISPz() UIMM16()                                                                       | PTR:r:p IMM0:r:w REG0=XED_REG_EIP:w:SUPP
| XABORT              | UNCOND_BR     | RTM           |               | c6          | 0b11      | 0b111     | 0xC6 MOD[0b11] MOD=3 REG[0b111] RM[0b000]  UIMM8()                                                  | REG0=XED_REG_EAX:rcw:SUPP IMM0:r:b
