| Opcode                   | Instruction                  | Op/En | 64/32 -bit Mode | CPUID Feature Flag | Description                                                                                                                                                            |
| VEX.128.66.0F38.W1 90 /r | VPGATHERDQ xmm1, vm32x, xmm2 | A     | V/V             | AVX2               | Using dword indices specified in vm32x, gather qword values from memory conditioned on mask specified by xmm2. Conditionally gathered elements are merged into xmm1 . |
| VEX.256.66.0F38.W1 90 /r | VPGATHERDQ ymm1, vm32x, ymm2 | A     | V/V             | AVX2               | Using dword indices specified in vm32x, gather qword values from memory conditioned on mask specified by ymm2. Conditionally gathered elements are merged into ymm1 . |
