| Opcode                    | Instruction                                     | Op/En | 64/32 bit Mode Support | CPUID Feature Flag | Description                                                                                                                                                          |
| NP 0F 63 /r 1             | PACKSSWB mm1, mm2/m64                           | A     | V/V                    | MMX                | Converts 4 packed signed word integers from mm1 and from mm2/m64 into 8 packed signed byte integers in mm1 using signed saturation .                                 |
| 66 0F 63 / r              | PACKSSWB xmm1, xmm2/m128                        | A     | V/V                    | SSE2               | Converts 8 packed signed word integers from xmm1 and from xxm2/m128 into 16 packed signed byte integers in xxm1 using signed saturation.                             |
| VEX.128.66.0F.WIG 63 /r   | VPACKSSWB xmm1,xmm2, xmm3/m128                  | B     | V/V                    | AVX                | Converts 8 packed signed word integers from xmm2 and from xmm3/m128 into 16 packed signed byte integers in xmm1 using signed saturation.                             |
| VEX.256.66.0F.WIG 63 /r   | VPACKSSWB ymm1, ymm2, ymm3/m256                 | B     | V/V                    | AVX2               | Converts 16 packed signed word integers from ymm2 and from ymm3/m256 into 32 packed signed byte integers in ymm1 using signed saturation.                            |
| EVEX.128.66.0F.WIG 63 / r | VPACKSSWB xmm1 {k1}{z}, xmm2, xmm3/m128         | C     | V/V                    | AVX512VL AVX512BW  | Converts packed signed word integers from xmm2 and from xmm3/m128 into packed signed byte integers in xmm1 using signed saturation under writemask k1.               |
| EVEX.256.66.0F.WIG 63 / r | VPACKSSWB ymm1 {k1}{z}, ymm2, ymm3/m256         | C     | V/V                    | AVX512VL AVX512BW  | Converts packed signed word integers from ymm2 and from ymm3/m256 into packed signed byte integers in ymm1 using signed saturation under writemask k1.               |
| EVEX.512.66.0F.WIG 63 / r | VPACKSSWB zmm1 {k1}{z}, zmm2, zmm3/m512         | C     | V/V                    | AVX512BW           | Converts packed signed word integers from zmm2 and from zmm3/m512 into packed signed byte integers in zmm1 using signed saturation under writemask k1.               |
