# al.exe options - https://docs.microsoft.com/en-us/dotnet/framework/tools/al-exe-assembly-linker
----------------------------------------------------------------------------------------------------------
| Name   | Meaning                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| al1028 | Key file 'file' is missing the private key needed for signing A key file that contains only the public key was passed to the /keyfile option. Use the Strong Name Tool ( Sn.exe ) to generate a file that has both a public and private key, as shown in the following command. sn -k keypair.snk.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| al1029 | The key container name 'container' does not exist The value passed to the /keyname option is not a valid container. Use the Strong Name Tool ( Sn.exe ) to create a container.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| al1030 | The cryptographic service is not installed properly or does not have a suitable key provider You might have to reinstall the operating system or install some cryptographic utility that was used to create the key.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| al1031 | Error reading icon 'file'—reason Al.exe cannot read the file that was passed to the /win32icon option for the specified reason                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| al1032 | Error generating resources for 'file'—reason Al.exe cannot create a file because of insufficient disk space or some other error. This error occurs when you specify the /win32icon option (which generates an .ico file) or do not specify the /win32res option (which generates a file that has resource information). If you cannot resolve the file generation problem, use /win32res , which specifies a file that can contain version or bitmap (icon) information.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| al1033 | Assembly custom attribute 'attribute' was specified multiple times with different values Different values were passed to two occurrences of the same custom attribute in source modules that are specified as input to Al.exe .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| al1034 | Assembly 'file' cannot be copied or renamed While using the Al.exe syntax that enables you to both specify an input file and copy it, a name conflict arose that stopped the compiler. For example, this error occurs if you specify input.dll,somename.dll /out:somename.dll .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| al1035 | Libraries cannot have an entry point You cannot specify both the /target:lib option (the default) and the /main option.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| al1036 | Entry point required for executable applications When using the /target:exe or /target:win option, you must also specify the /main option.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| al1037 | Unable to find the entry point method 'main' Al.exe cannot find a Main method at the location specified by the /main option.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| al1039 | Initialization of global assembly cache manager failed—reason Reinstall Visual Studio or the Windows SDK.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
