# EFLAGS Condition Tests, Table B-1 Intel Vol1
--------------------------------------------------------------------------------------------------------------------------------------------------------
| Mnemonic | Description               | (tttn) Field Code | OF | CF | ZF | SF | PF | Test: (CF OR ZF) | Test: (SF XOR OF) | Test: ((SF XOR OF) OR ZF) |
| O        | Overflow                  | 0000              | 1  |    |    |    |    |                  |                   |                           |
| NO       | No overflow               | 0001              | 0  |    |    |    |    |                  |                   |                           |
| B        | Below                     | 0010              |    | 1  |    |    |    |                  |                   |                           |
| NB       | Not Below                 | 0011              |    | 0  |    |    |    |                  |                   |                           |
| E        | Equal                     | 0100              |    |    | 1  |    |    |                  |                   |                           |
| NE       | Not Equal                 | 0101              |    |    | 0  |    |    |                  |                   |                           |
| BE       | Below or equal            | 0110              |    |    |    |    |    | 1                |                   |                           |
| NBE      | Neither below nor equal   | 0111              |    |    |    |    |    | 0                |                   |                           |
| S        | Sign                      | 1000              |    |    |    | 1  |    |                  |                   |                           |
| NS       | No Sign                   | 1001              |    |    |    | 0  |    |                  |                   |                           |
| P        | Parity                    | 1010              |    |    |    |    | 1  |                  |                   |                           |
| NP       | No Parity                 | 1011              |    |    |    |    | 0  |                  |                   |                           |
| L        | Less                      | 1100              |    |    |    |    |    |                  | 1                 |                           |
| NL       | Not Less                  | 1101              |    |    |    |    |    |                  | 0                 |                           |
| LE       | Less or Equal             | 1110              |    |    |    |    |    |                  |                   | 1                         |
| NLE      | Neither less nor equal    | 1111              |    |    |    |    |    |                  |                   | 0                         |
| ******** |                           |                   |    |    |    |    |    |                  |                   |                           |
| NAE      | Neither above nor equal   | 0010              |    | 1  |    |    |    |                  |                   |                           |
| AE       | Above or equal            | 0011              |    | 0  |    |    |    |                  |                   |                           |
| Z        | Zero                      | 0100              |    |    | 1  |    |    |                  |                   |                           |
| NZ       | Not zero                  | 0101              |    |    | 0  |    |    |                  |                   |                           |
| PE       | Parity Even               | 1010              |    |    |    |    | 1  |                  |                   |                           |
| PO       | Parity Odd                | 1011              |    |    |    |    | 0  |                  |                   |                           |
| NGE      | Neither greater nor equal | 1100              |    |    |    |    |    |                  | 1                 |                           |
| GE       | Greater or equal          | 1101              |    |    |    |    |    |                  | 0                 |                           |
| NG       | Not greater               | 1110              |    |    |    |    |    |                  |                   | 1                         |
| G        | Greater                   | 1111              |    |    |    |    |    |                  |                   | 0                         |
