| MCA          | MCA          | mca         | Machine Check Architecture. A value of 1 indicates the Machine Check Architecture of reporting machine errors is supported. The MCG_CAP MSR contains feature bits describing how many banks of error reporting MSRs are supported.                                                                                                                                                                                                        |
| CMOV         | CMOV         | cmov        | Conditional Move Instructions. The conditional move instruction CMOV is supported. In addition, if x87 FPU is present as indicated by the CPUID.FPU feature bit, then the FCOMI and FCMOV instructions are supported                                                                                                                                                                                                                      |
| PAT          | PAT          | pat         | Page Attribute Table. Page Attribute Table is supported. This feature augments the Memory Type Range Registers (MTRRs), allowing an operating system to specify attributes of memory accessed through a linear address on a 4KB granularity.                                                                                                                                                                                              |
| PSE-36       | PSE36        | pse36       | 36-Bit Page Size Extension. 4-MByte pages addressing physical memory beyond 4 GBytes are supported with 32-bit paging. This feature indicates that upper bits of the physical address of a 4-MByte page are encoded in bits 20:13 of the page-directory entry. Such physical addresses are limited by MAXPHYADDR and may be up to 40 bits in size.                                                                                        |
| PSN          | PSN          | psn         | Processor Serial Number. The processor supports the 96-bit processor identification number feature and the feature is enabled.                                                                                                                                                                                                                                                                                                            |
| CLFSH        | CLFSH        | clfsh       | CLFLUSH Instruction. CLFLUSH Instruction is supported.                                                                                                                                                                                                                                                                                                                                                                                    |
| DS           | DS           | ds          | Debug Store. The processor supports the ability to write debug information into a memory resident buffer. This feature is used by the branch trace store (BTS) and processor event-based sampling (PEBS) facilities                                                                                                                                                                                                                       |
| ACPI         | ACPI         | acpi        | Thermal Monitor and Software Controlled Clock Facilities. The processor implements internal MSRs that\ allow processor temperature to be monitored and processor performance to be modulated in predefined duty cycles under software control.                                                                                                                                                                                            |
| MMX          | MMX          | mmx         | Intel MMX Technology. The processor supports the Intel MMX technology.                                                                                                                                                                                                                                                                                                                                                                    |
| FXSR         | FXSR         | fxsr        | FXSAVE and FXRSTOR Instructions. The FXSAVE and FXRSTOR instructions are supported for fast save and restore of the floating point context. Presence of this bit also indicates that CR4.OSFXSR is available for an operating system to indicate that it supports the FXSAVE and FXRSTOR instructions.                                                                                                                                    |
| SSE          | SSE          | sse         | SSE. The processor supports the SSE extensions.                                                                                                                                                                                                                                                                                                                                                                                           |
| SSE2         | SSE2         | sse2        | SSE2. The processor supports the SSE2 extensions.                                                                                                                                                                                                                                                                                                                                                                                         |
| SS           | SS           | ss          | Self Snoop. The processor supports the management of conflicting memory types by performing a snoop of its own cache structure for transactions issued to the bus.                                                                                                                                                                                                                                                                        |
| HTT          | HTT          | htt         | Max APIC IDs reserved field is Valid. A value of 0 for HTT indicates there is only a single logical processor in the package and software should assume only a single APIC ID is reserved. A value of 1 for HTT indicates the value in CPUID.1.EBX[23:16] (the Maximum number of addressable IDs for logical processors in this package) is valid for the package.                                                                        |
| TM           | TM           | tm          | Thermal Monitor. The processor implements the thermal monitor automatic thermal control circuitry (TCC).                                                                                                                                                                                                                                                                                                                                  |
| PBE          | PBE          | pbe         | Pending Break Enable. The processor supports the use of the FERR#/PBE# pin when the processor is in the stop-clock state (STPCLK# is asserted) to signal the processor that an interrupt is pending and that the processor should return to normal operation to handle the interrupt. Bit 10 (PBE enable) in the IA32_MISC_ENABLE MSR enables this capability.                                                                            |
