| FieldCode | Register | Width | REX.B | 64-bit Only |
| 0         | AL       | 8     | N     | F           |
| 1         | CL       | 8     | N     | F           |
| 2         | DL       | 8     | N     | F           |
| 3         | BL       | 8     | N     | F           |
| 4         | AH       | 8     | N.E.  | F           |
| 5         | CH       | 8     | N.E.  | F           |
| 6         | DH       | 8     | N.E.  | F           |
| 7         | BH       | 8     | N.E.  | F           |
| 0         | R8L      | 8     | Y     | T           |
| 1         | R9L      | 8     | Y     | T           |
| 2         | R10L     | 8     | Y     | T           |
| 3         | R11L     | 8     | Y     | T           |
| 4         | R12L     | 8     | Y     | T           |
| 5         | R13L     | 8     | Y     | T           |
| 6         | R14L     | 8     | Y     | T           |
| 7         | R15L     | 8     | Y     | T           |
| 4         | SPL      | 8     | Y     | F           |
| 5         | BPL      | 8     | Y     | F           |
| 6         | SIL      | 8     | Y     | F           |
| 7         | DIL      | 8     | Y     | F           |
| 0         | AX       | 16    | N     | F           |
| 1         | CX       | 16    | N     | F           |
| 2         | DX       | 16    | N     | F           |
| 3         | BX       | 16    | N     | F           |
| 4         | SP       | 16    | N     | F           |
| 5         | BP       | 16    | N     | F           |
| 6         | SI       | 16    | N     | F           |
| 7         | DI       | 16    | N     | F           |
| 4         | SP       | 16    | N     | F           |
| 5         | BP       | 16    | N     | F           |
| 6         | SI       | 16    | N     | F           |
| 7         | DI       | 16    | N     | F           |
| 0         | R8W      | 16    | Y     | T           |
| 1         | R9W      | 16    | Y     | T           |
| 2         | R10W     | 16    | Y     | T           |
| 3         | R11W     | 16    | Y     | T           |
| 4         | R12W     | 16    | Y     | T           |
| 5         | R13W     | 16    | Y     | T           |
| 6         | R14W     | 16    | Y     | T           |
| 7         | R15W     | 16    | Y     | T           |
| 0         | EAX      | 32    | N     | F           |
| 1         | ECX      | 32    | N     | F           |
| 2         | EDX      | 32    | N     | F           |
| 3         | EBX      | 32    | N     | F           |
| 4         | ESP      | 32    | N     | F           |
| 5         | EBP      | 32    | N     | F           |
| 6         | ESI      | 32    | N     | F           |
| 7         | EDI      | 32    | N     | F           |
| 4         | ESP      | 32    | N     | F           |
| 5         | EBP      | 32    | N     | F           |
| 6         | ESI      | 32    | N     | F           |
| 7         | EDI      | 32    | N     | F           |
| 0         | R8D      | 32    | Y     | T           |
| 1         | R9D      | 32    | Y     | T           |
| 2         | R10D     | 32    | Y     | T           |
| 3         | R11D     | 32    | Y     | T           |
| 4         | R12D     | 32    | Y     | T           |
| 5         | R13D     | 32    | Y     | T           |
| 6         | R14D     | 32    | Y     | T           |
| 7         | R15D     | 32    | Y     | T           |
| 0         | RAX      | 64    | N     | T           |
| 1         | RCX      | 64    | N     | T           |
| 2         | RDX      | 64    | N     | T           |
| 3         | RBX      | 64    | N     | T           |
| 4         | RSP      | 64    | N     | T           |
| 5         | RBP      | 64    | N     | T           |
| 6         | RSI      | 64    | N     | T           |
| 7         | RDI      | 64    | N     | T           |
| 0         | R8       | 64    | Y     | T           |
| 1         | R9       | 64    | Y     | T           |
| 2         | R10      | 64    | Y     | T           |
| 3         | R11      | 64    | Y     | T           |
| 4         | R12      | 64    | Y     | T           |
| 5         | R13      | 64    | Y     | T           |
| 6         | R14      | 64    | Y     | T           |
| 7         | R15      | 64    | Y     | T           |
