# AMD Vol 3[2.5.1]
| xmm2         | Double quadword (128-bit) operand in an XMM register, specified as the right-most (second) operand in the instruction syntax.                                                                                                               |
| xmm/mem64    | Quadword (64-bit) operand in a 128-bit XMM register or memory.                                                                                                                                                                              |
| xmm/mem128   | Double quadword (128-bit) operand in an XMM register or memory.                                                                                                                                                                             |
| xmm1/mem128  | Double quadword (128-bit) operand in an XMM register or memory, specified as the left-most (first) operand in the instruction syntax.                                                                                                       |
| xmm2/mem128  | Double quadword (128-bit) operand in an XMM register or memory, specified as the right-most (second) operand in the instruction syntax.                                                                                                     |
| ymm          | Double octword (256-bit) operand in an YMM register.                                                                                                                                                                                        |
| ymm1         | Double octword (256-bit) operand in an YMM register, specified as the left-most (first) operand in the instruction syntax.                                                                                                                  |
| ymm2         | Double octword (256-bit) operand in an YMM register, specified as the right-most (second) operand in the instruction syntax.                                                                                                                |
| ymm/mem64    | Quadword (64-bit) operand in a 256-bit YMM register or memory.                                                                                                                                                                              |
| ymm/mem128   | Double quadword (128-bit) operand in an YMM register or memory.                                                                                                                                                                             |
| ymm1/mem256  | Double octword (256-bit) operand in an YMM register or memory, specified as the left-most (first) operand in the instruction syntax.                                                                                                        |
| ymm2/mem256  | Double octword (256-bit) operand in an YMM register or memory, specified as the right-most (second) operand in the instruction syntax.                                                                                                      |
