| Offset | Size | Field      | Description                                                                                                                                  |
| 0      | 4    | Page RVA   | The image base plus the page RVA is added to each offset to create the VA where the base relocation must be applied.                         |
| 4      | 4    | Block Size | The total number of bytes in the base relocation block, including the Page RVA and Block Size fields and the Type/Offset fields that follow. |
