| Offset | Size | Field              | Description                                                                                                                                                                                       |
| 0      | 8    | Name               | The name of the symbol, represented by a union of three structures. An array of 8 bytes is used if the name is not more than 8 bytes long. For more information, see Symbol Name Representation . |
| 8      | 4    | Value              | The value that is associated with the symbol. The interpretation of this field depends on SectionNumber and StorageClass. A typical meaning is the relocatable address.                           |
| 12     | 2    | SectionNumber      | The signed integer that identifies the section, using a one-based index into the section table. Some values have special meaning, as defined in section 5.4.2, "Section Number Values."           |
| 14     | 2    | Type               | A number that represents type. Microsoft tools set this field to 0x20 (function) or 0x0 (not a function). For more information, see Type Representation .                                         |
| 16     | 1    | StorageClass       | An enumerated value that represents storage class. For more information, see Storage Class .                                                                                                      |
| 17     | 1    | NumberOfAuxSymbols | The number of auxiliary symbol table entries that follow this record.                                                                                                                             |
