| Name      | Description                                                                                                                                   | Characteristics                                                                                                                                                                                                |                                                                                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                    |
| .bss      | Uninitialized data (free format)                                                                                                              | IMAGE_SCN_CNT_UNINITIALIZED_DATA &#124; IMAGE_SCN_MEM_READ                                                                                                                                                     | IMAGE_SCN_MEM_WRITE                                                                                                                                                                                                                                                                |                                                                                                                                                                                                                                                                                    |
| .cormeta  | CLR metadata that indicates that the object file contains managed code                                                                        | IMAGE_SCN_LNK_INFO                                                                                                                                                                                             |                                                                                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                    |
| .data     | Initialized data (free format)                                                                                                                | IMAGE_SCN_CNT_INITIALIZED_DATA &#124; IMAGE_SCN_MEM_READ                                                                                                                                                       | IMAGE_SCN_MEM_WRITE                                                                                                                                                                                                                                                                |                                                                                                                                                                                                                                                                                    |
| .debug$F  | Generated FPO debug information (object only, x86 architecture only, and now obsolete)                                                        | IMAGE_SCN_CNT_INITIALIZED_DATA &#124; IMAGE_SCN_MEM_READ                                                                                                                                                       | IMAGE_SCN_MEM_DISCARDABLE                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                                                    |
| .debug$P  | Precompiled debug types (object only)                                                                                                         | IMAGE_SCN_CNT_INITIALIZED_DATA &#124; IMAGE_SCN_MEM_READ                                                                                                                                                       | IMAGE_SCN_MEM_DISCARDABLE                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                                                    |
| .debug$S  | Debug symbols (object only)                                                                                                                   | IMAGE_SCN_CNT_INITIALIZED_DATA &#124; IMAGE_SCN_MEM_READ                                                                                                                                                       | IMAGE_SCN_MEM_DISCARDABLE                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                                                    |
| .debug$T  | Debug types (object only)                                                                                                                     | IMAGE_SCN_CNT_INITIALIZED_DATA &#124; IMAGE_SCN_MEM_READ                                                                                                                                                       | IMAGE_SCN_MEM_DISCARDABLE                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                                                    |
| .drective | Linker options                                                                                                                                | IMAGE_SCN_LNK_INFO                                                                                                                                                                                             |                                                                                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                    |
| .edata    | Export tables                                                                                                                                 | IMAGE_SCN_CNT_INITIALIZED_DATA &#124; IMAGE_SCN_MEM_READ                                                                                                                                                       |                                                                                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                    |
| .idata    | Import tables                                                                                                                                 | IMAGE_SCN_CNT_INITIALIZED_DATA &#124; IMAGE_SCN_MEM_READ                                                                                                                                                       | IMAGE_SCN_MEM_WRITE                                                                                                                                                                                                                                                                |                                                                                                                                                                                                                                                                                    |
| .idlsym   | Includes registered SEH (image only) to support IDL attributes. For information, see "IDL Attributes" in References at the end of this topic. | IMAGE_SCN_LNK_INFO                                                                                                                                                                                             |                                                                                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                    |
| .pdata    | Exception information                                                                                                                         | IMAGE_SCN_CNT_INITIALIZED_DATA &#124; IMAGE_SCN_MEM_READ                                                                                                                                                       |                                                                                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                    |
| .rdata    | Read-only initialized data                                                                                                                    | IMAGE_SCN_CNT_INITIALIZED_DATA &#124; IMAGE_SCN_MEM_READ                                                                                                                                                       |                                                                                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                    |
| .reloc    | Image relocations                                                                                                                             | IMAGE_SCN_CNT_INITIALIZED_DATA &#124; IMAGE_SCN_MEM_READ                                                                                                                                                       | IMAGE_SCN_MEM_DISCARDABLE                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                                                    |
| .rsrc     | Resource directory                                                                                                                            | IMAGE_SCN_CNT_INITIALIZED_DATA &#124; IMAGE_SCN_MEM_READ                                                                                                                                                       |                                                                                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                    |
| .sbss     | GP-relative uninitialized data (free format)                                                                                                  | IMAGE_SCN_CNT_UNINITIALIZED_DATA &#124; IMAGE_SCN_MEM_READ                                                                                                                                                     | IMAGE_SCN_MEM_WRITE                                                                                                                                                                                                                                                                | IMAGE _SCN_GPREL The IMAGE_SCN_GPREL flag should be set for IA64 architectures only; this flag is not valid for other architectures. The IMAGE_SCN_GPREL flag is for object files only; when this section type appears in an image file, the IMAGE_SCN_GPREL flag must not be set. |
| .sdata    | GP-relative initialized data (free format)                                                                                                    | IMAGE_SCN_CNT_INITIALIZED_DATA &#124; IMAGE_SCN_MEM_READ                                                                                                                                                       | IMAGE_SCN_MEM_WRITE                                                                                                                                                                                                                                                                | IMAGE _SCN_GPREL The IMAGE_SCN_GPREL flag should be set for IA64 architectures only; this flag is not valid for other architectures. The IMAGE_SCN_GPREL flag is for object files only; when this section type appears in an image file, the IMAGE_SCN_GPREL flag must not be set. |
| .srdata   | GP-relative read-only data (free format)                                                                                                      | IMAGE_SCN_CNT_INITIALIZED_DATA &#124; IMAGE_SCN_MEM_READ                                                                                                                                                       | IMAGE _SCN_GPREL The IMAGE_SCN_GPREL flag should be set for IA64 architectures only; this flag is not valid for other architectures. The IMAGE_SCN_GPREL flag is for object files only; when this section type appears in an image file, the IMAGE_SCN_GPREL flag must not be set. |                                                                                                                                                                                                                                                                                    |
| .sxdata   | Registered exception handler data (free format and x86/object only)                                                                           | IMAGE_SCN_LNK_INFO Contains the symbol index of each of the exception handlers being referred to by the code in that object file. The symbol can be for an UNDEF symbol or one that is defined in that module. |                                                                                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                    |
| .text     | Executable code (free format)                                                                                                                 | IMAGE_SCN_CNT_CODE &#124; IMAGE_SCN_MEM_EXECUTE                                                                                                                                                                | IIMAGE_SCN_MEM_READ                                                                                                                                                                                                                                                                |                                                                                                                                                                                                                                                                                    |
| .tls      | Thread-local storage (object only)                                                                                                            | IMAGE_SCN_CNT_INITIALIZED_DATA &#124; IMAGE_SCN_MEM_READ                                                                                                                                                       | IMAGE_SCN_MEM_WRITE                                                                                                                                                                                                                                                                |                                                                                                                                                                                                                                                                                    |
| .tls$     | Thread-local storage (object only)                                                                                                            | IMAGE_SCN_CNT_INITIALIZED_DATA &#124; IMAGE_SCN_MEM_READ                                                                                                                                                       | IMAGE_SCN_MEM_WRITE                                                                                                                                                                                                                                                                |                                                                                                                                                                                                                                                                                    |
| .vsdata   | GP-relative initialized data (free format and for ARM, SH4, and Thumb architectures only)                                                     | IMAGE_SCN_CNT_INITIALIZED_DATA &#124; IMAGE_SCN_MEM_READ                                                                                                                                                       | IMAGE_SCN_MEM_WRITE                                                                                                                                                                                                                                                                |                                                                                                                                                                                                                                                                                    |
| .xdata    | Exception information (free format)                                                                                                           | IMAGE_SCN_CNT_INITIALIZED_DATA &#124; IMAGE_SCN_MEM_READ                                                                                                                                                       |                                                                                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                    |
