Identifier      | Source Width | Source Type | Target Width | Target Type
8x8i -> 8x16i   | 128          | 8i          | 128          | 16i
8x8i -> 8x16u   | 128          | 8i          | 128          | 16u
8x8i -> 8x32i   | 128          | 8i          | 256          | 32i
128          | 8u          | 128          | 16u
128          | 8u          | 256          | 32u
128          | 16i         | 128          | 32i
128          | 16i         | 256          | 64i
128          | 16u         | 128          | 32u
128          | 16u         | 256          | 64i
128          | 16u         | 256          | 64u
128          | 32u         | 128          | 64i
128          | 32u         | 128          | 64u
256          | 8i          | 256          | 16i
256          | 8u          | 256          | 16i
256          | 8u          | 256          | 16u
256          | 16i         | 256          | 32i
256          | 16u         | 256          | 32u
256          | 32i         | 256          | 64i
256          | 32u         | 256          | 64u
