Property    | Z0.BitSpan.Item(System.Int32,System.Int32,System.UInt32)              | Packs a segment selection of at most 32 bits
Property    | Z0.BitSpan.Item(System.Int32,System.Int32,System.UInt64)              | Packs a segment selection of at most 64 bits
Method      | Z0.BitSpans.alloc(System.Int32)                                       | Allocates a bitspan with a specified length
Method      | Z0.BitSpans.pop(Z0.BitSpan@)                                          | Computes the number of enabled bits covered by source
Method      | Z0.BitSpans.concat(Z0.BitSpan@,Z0.BitSpan@)                           | Forms the bitspan z := [head,tail] via concatentation
Method      | Z0.BitSpans.load(System.Span{Z0.bit})                                 | Wraps a bitspan over a span of extant bits
Method      | Z0.BitSpans.load(Z0.bit[])                                            | Loads a bitspan from an array
Method      | Z0.BitSpans.load(Z0.bit@,System.Int32)                                | Loads a bitspan from a reference
Method      | Z0.BitSpans.load(System.ReadOnlySpan{System.Byte})                    | Creates a bitspan from an arbitrary number of packed bytes
Method      | Z0.BitSpans.load(System.Span{System.Byte})                            | Creates a bitspan from an arbitrary number of packed bytes
Method      | Z0.BitSpans.parse(System.String)                                      | Creates a bitspan from text encoding of a binary number
Method      | Z0.BitSpans.parts(Z0.bit[])                                           | Creates a bitspan from a parameter array
Method      | Z0.BitSpans.replicate(Z0.BitSpan@,Z0.BitSpan@)                        | Replicates the content of a source bitspan into a target bitspan, repeatedly             or partially depending on the available space in the target
Method      | Z0.BitSpans.replicate(Z0.BitSpan@,System.Int32)                       | Replicates the content of a source bitspan into a new bitspan
Method      | Z0.BitSpans.truncate(Z0.BitSpan@,System.Int32)                        | Clamps the source bitstring to one of a specified maximum length, discarding any excess
Method      | Z0.BitSpans.bitslice``1(Z0.BitSpan@,System.Int32)                     | Materializes a bitspan segment as a scalar value
Method      | Z0.BitSpans.bitslice``1(Z0.BitSpan@)                                  | Materializes a bitspan segment as a scalar value
Method      | Z0.BitSpans.bitslice``1(Z0.BitSpan@,System.Int32,System.Int32)        | Materializes an integral value from a bitspan segment
Method      | Z0.BitSpans.clear(Z0.BitSpan@)                                        | Obliterates all bitspan content
Method      | Z0.BitSpans.clear(Z0.BitSpan@,System.Int32)                           | Obliterates bitspan content higher than a specified maximum
Method      | Z0.BitSpans.clear(Z0.BitSpan@,System.Int32,System.Int32)              | Clears a contiguous sequence of bits between two indices
Method      | Z0.BitSpans.extract``1(Z0.BitSpan@,System.Int32)                      | Extracts a scalar value from a bitspan
Method      | Z0.BitSpans.fill``1(``0,Z0.BitSpan@)                                  | Fills a bitspan from a primal source
Method      | Z0.BitSpans.from``1(``0)                                              | Creates a bitspan from a primal source
Method      | Z0.BitSpans.from``1(``0,System.Int32)                                 | Creates a bitspan from a primal source, or portion thereof
Method      | Z0.BitSpans.load``1(System.Span{``0})                                 | Creates a bitspan from an arbitrary number of primal values
Method      | Z0.BitSpans.load``1(System.ReadOnlySpan{``0})                         | Creates a bitspan from an arbitrary number of primal values
Method      | Z0.BitSpans.slice``1(Z0.BitSpan@,System.Int32,System.Int32)           | Materializes an integral value from a bitspan segment
Method      | Z0.SpannedBits.slice(Z0.BitSpan@,Z0.W8,System.Int32,System.Int32)     | Materializes an 8-bit unsigned integer from a bitspan segment
Method      | Z0.SpannedBits.slice(Z0.BitSpan@,Z0.W16,System.Int32,System.Int32)    | Materializes a 16-bit unsigned integer from a bitspan segment
Method      | Z0.SpannedBits.slice(Z0.BitSpan@,Z0.W32,System.Int32,System.Int32)    | Materializes a 32-bit unsigned integer from a bitspan segment
Method      | Z0.SpannedBits.slice(Z0.BitSpan@,Z0.W64,System.Int32,System.Int32)    | Materializes a 64-bit unsigned integer from a bitspan segment
Method      | Z0.ICheckBitSpans.eq(Z0.BitSpan@,Z0.BitSpan@,System.String,System.String,System.Nullable{System.Int32})| Asserts the equality of two bitspans
Method      | Z0.BitSpanRng.BitSpan(Z0.IPolyrand,System.Int32)                      | Produces a random bitspan of specified length
Method      | Z0.BitSpanRng.BitSpan(Z0.IPolyrand,System.Int32,System.Int32)         | Produces a bitspan with randomized length
Method      | Z0.BitSpanRng.BitSpan(Z0.IPolyrand,Z0.BitSpan@)                       | Fills a caller-supplied bitspan with random bits
