# CilPackingSize - https://docs.microsoft.com/en-us/dotnet/api/system.reflection.emit.packingsize?view=netcore-3.1
------------------------------------------------------------
| Identifier  | Value | Description                        |
| Size1       | 1     | The packing size is 1 byte.        |
| Size128     | 128   | The packing size is 128 bytes.     |
| Size16      | 16    | The packing size is 16 bytes.      |
| Size2       | 2     | The packing size is 2 bytes.       |
| Size32      | 32    | The packing size is 32 bytes.      |
| Size4       | 4     | The packing size is 4 bytes.       |
| Size64      | 64    | The packing size is 64 bytes.      |
| Size8       | 8     | The packing size is 8 bytes.       |
| Unspecified | 0     | The packing size is not specified. |
