# WellKnown - Examples show where source is assumed to be located at C:\Source\Repos\ConsoleApp1\ConsoleApp1
----------------------------------------------------------------------------------------------------------
| MSBuildProjectName             | The file name of the project file without the file name extension; for example, MyApp .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | ConsoleApp1                                                                     |
| MSBuildRuntimeType             | The type of the runtime that is currently executing. Introduced in MSBuild 15. Value may be undefined (prior to MSBuild 15), Full indicating that MSBuild is running on the desktop .NET Framework, Core indicating that MSBuild is running on .NET Core (for example in dotnet build ), or Mono indicating that MSBuild is running on Mono.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | Full                                                                            |
| MSBuildStartupDirectory        | The absolute path of the folder where MSBuild is called. By using this property, you can build everything below a specific point in a project tree without creating <dirs>.proj files in every directory. Instead, you have just one project—for example, c:\traversal.proj , as shown here: <Project ...> <ItemGroup> <ProjectFiles Include="$ (MSBuildStartupDirectory) **\*.csproj"/> </ItemGroup> <Target Name="build"> <MSBuild Projects="@(ProjectFiles)"/> </Target> </Project> To build at any point in the tree, type: msbuild c:\traversal.proj Do not include the final backslash on this property.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | c:\Source\Repos\ConsoleApp1                                                     |
| MSBuildThisFile                | The file name and file extension portion of MSBuildThisFileFullPath .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | ConsoleApp1.csproj                                                              |
| MSBuildThisFileDirectory       | The directory portion of MSBuildThisFileFullPath . Include the final backslash in the path.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | c:\Source\Repos\ConsoleApp1\ConsoleApp1\                                        |
| MSBuildThisFileDirectoryNoRoot | The directory portion of MSBuildThisFileFullPath , excluding the root drive. Include the final backslash in the path.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | Source\Repos\ConsoleApp1\ConsoleApp1\                                           |
| MSBuildThisFileExtension       | The file name extension portion of MSBuildThisFileFullPath .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | .csproj                                                                         |
| MSBuildThisFileFullPath        | The absolute path of the project or targets file that contains the target that is running. Tip: You can specify a relative path in a targets file that's relative to the targets file and not relative to the original project file.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | c:\Source\Repos\ConsoleApp1\ConsoleApp1\ConsoleApp1.csproj                      |
| MSBuildThisFileName            | The file name portion of MSBuildThisFileFullPath , without the file name extension.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | ConsoleApp1                                                                     |
| MSBuildToolsPath               | The installation path of the MSBuild version that's associated with the value of MSBuildToolsVersion . Do not include the final backslash in the path. This property cannot be overridden.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | C:\Program Files (x86)\Microsoft Visual Studio\2019\Preview\MSBuild\Current\Bin |
| MSBuildToolsVersion            | The version of the MSBuild Toolset that is used to build the project. Note: An MSBuild Toolset consists of tasks, targets, and tools that are used to build an application. The tools include compilers such as csc.exe and vbc.exe . For more information, see Toolset (ToolsVersion) , and Standard and custom Toolset configurations .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | Current                                                                         |
| MSBuildVersion                 | The version of MSBuild used to build the project. This property can't be overridden, otherwise the error message MSB4004 - The 'MSBuildVersion' property is reserved, and can not be modified. is returned.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 16.7.0                                                                          |
