# CoreApi31 - https://docs.microsoft.com/en-us/dotnet/api/?view=netcore-3.1
------------------------------------------------------------------------------------------------------------------------------------------------
| Name                                                           | Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| Accessibility Namespace                                        | The Accessibility namespace and all of its exposed members are part of a managed wrapper for the Component Object Model (COM) accessibility interface.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Microsoft.CSharp Namespace                                     | The Microsoft.CSharp namespace contains classes that support compilation and code generation using the C# language.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| Microsoft.CSharp.RuntimeBinder Namespace                       | The Microsoft.CSharp.RuntimeBinder namespace provides classes and interfaces that support interoperation between Dynamic Language Runtime and C#.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| Microsoft.VisualBasic Namespace                                | The Microsoft.VisualBasic namespace contains types that support the Visual Basic Runtime in VisualBasic.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| Microsoft.VisualBasic.CompilerServices Namespace               | The Microsoft.VisualBasic.CompilerServices namespace contains internal-use only types that support the Visual Basic compiler.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Microsoft.VisualBasic.FileIO Namespace                         | The Microsoft.VisualBasic.FileIO namespace contains types that support the My file system object in VisualBasic.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| Microsoft.Win32 Namespace                                      | The Microsoft.Win32 namespace provides two types of classes: those that handle events raised by the operating system and those that manipulate the system registry.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| Microsoft.Win32.SafeHandles Namespace                          | The Microsoft.Win32.SafeHandles namespace contains classes that are abstract derivations of safe handle classes that provide common functionality supporting file and operating system handles.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Microsoft.Windows.Input Namespace                              | Contains interfaces for preview commands in a Microsoft Ribbon for WPF control.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Microsoft.Windows.Themes Namespace                             | Provides exposure to the set of themes defined by Windows Presentation Foundation. In WPF, a theme is a set of resources, defined at the system level, which provide the default appearance for controls and other visual elements of an application. WPF themes are created using styles and include Luna, Aero, Royale, and Classic. Only the client area of a WPF application uses these themes; the appearance of the window border and buttons that form the window chrome is controlled by the Win32 theme service.                                                                                                                                                                                                                                                                                                                                                                                                                  |
| System Namespace                                               | The namespace contains fundamental classes and base classes that define commonly-used value and reference data types, events and event handlers, interfaces, attributes, and processing exceptions.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| System.Buffers Namespace                                       | The System.Buffers namespace contains types used in creating and managing memory buffers, such as those represented by Span&lt;T&gt; and Memory&lt;T&gt;.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| System.Buffers.Binary Namespace                                | Provides static methods for reading and writing the binary representations of primitive types from and to spans of bytes, respectively.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| System.Buffers.Text Namespace                                  | This namespace contains types that can be used to parse and format common data types to and from UTF-8 text representations.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| System.CodeDom Namespace                                       | The System.CodeDom namespace contains classes that can be used to represent the elements and structure of a source code document. The classes in this namespace can be used to model the structure of a source code document that can be output as source code in a supported language using the functionality provided by the System.CodeDom.Compiler namespace.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| System.CodeDom.Compiler Namespace                              | The System.CodeDom.Compiler namespace contains types for managing the generation and compilation of source code in supported programming languages. Code generators can each produce source code in a particular programming language based on the structure of Code Document Object Model (CodeDOM) source code models consisting of elements provided by the System.CodeDom namespace.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| System.Collections Namespace                                   | The System.Collections namespace contains interfaces and classes that define various collections of objects, such as lists, queues, bit arrays, hash tables and dictionaries.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| System.Collections.Concurrent Namespace                        | The System.Collections.Concurrent namespace provides several thread-safe collection classes that should be used in place of the corresponding types in the System.Collections and System.Collections.Generic namespaces whenever multiple threads are accessing the collection concurrently. However, access to elements of a collection object through extension methods or through explicit interface implementations are not guaranteed to be thread-safe and may need to be synchronized by the caller.                                                                                                                                                                                                                                                                                                                                                                                                                                |
| System.Collections.Generic Namespace                           | The System.Collections.Generic namespace contains interfaces and classes that define generic collections, which allow users to create strongly typed collections that provide better type safety and performance than non-generic strongly typed collections.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| System.Collections.Immutable Namespace                         | The System.Collections.Immutable namespace contains interfaces and classes that define immutable collections.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| System.Collections.Object Model Namespace                      | The System.Collections.ObjectModel namespace contains classes that can be used as collections in the object model of a reusable library. Use these classes when properties or methods return collections.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| System.Collections.Specialized Namespace                       | The System.Collections.Specialized namespace contains specialized and strongly-typed collections; for example, a linked list dictionary, a bit vector, and collections that contain only strings.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
