| Opcode/Instruction       | Op/En                                             | 64/32 bit Mode Support | CPUID Feature Flag | Description       |                                                                                                               |
| NP 0F 60 / r             | PUNPCKLBW mm, mm/m32                              | A                      | V/V                | MMX               | Interleave low-order bytes from mm and mm/m32 into mm .                                                       |
| 66 0F 60 / r             | PUNPCKLBW xmm1 , xmm2/m128                        | A                      | V/V                | SSE2              | Interleave low-order bytes from xmm1 and xmm2/m128 into xmm1 .                                                |
