# EFLAGS Condition States, Table B-1 Intel Vol1
-------------------------------------
| Identifier | OF | CF | ZF | SF | PF |
| O          | 1  |    |    |    |    |
| NO         | 0  |    |    |    |    |
| B          |    | 1  |    |    |    |
| NB         |    | 0  |    |    |    |
| E          |    |    | 1  |    |    |
| NE         |    |    | 0  |    |    |
| S          |    |    |    | 1  |    |
| NS         |    |    |    | 0  |    |
| P          |    |    |    |    | 1  |
| NP         |    |    |    |    | 0  |


