| Name       | Contextual |
| abstract   | false      |
| add        | true       |
| alias      | true       |
| as         | false      |
| ascending  | true       |
| async      | true       |
| await      | true       |
| base       | false      |
| bool       | false      |
| break      | false      |
| by         | true       |
| byte       | false      |
| case       | false      |
| catch      | false      |
| char       | false      |
| checked    | false      |
| class      | false      |
| const      | false      |
| continue   | false      |
| decimal    | false      |
| default    | false      |
| delegate   | false      |
| descending | true       |
| do         | false      |
| double     | false      |
| dynamic    | true       |
| else       | false      |
| enum       | false      |
| equals     | true       |
| event      | false      |
| explicit   | false      |
| extern     | false      |
| false      | false      |
| finally    | false      |
| fixed      | false      |
| float      | false      |
| for        | false      |
| foreach    | false      |
| from       | true       |
| get        | true       |
| global     | true       |
| group      | true       |
| goto       | false      |
| if         | false      |
| implicit   | false      |
| in         | false      |
| int        | false      |
| into       | true       |
| interface  | false      |
| internal   | false      |
| is         | false      |
| join       | true       |
| let        | true       |
| lock       | false      |
| long       | false      |
| nameof     | true       |
| namespace  | false      |
| new        | false      |
| notnull    | true       |
| null       | false      |
| object     | false      |
| on         | true       |
| orderby    | true       |
| operator   | false      |
| out        | false      |
| override   | false      |
| params     | false      |
| partial    | true       |
| private    | false      |
| protected  | false      |
| public     | false      |
| readonly   | false      |
| ref        | false      |
| remove     | true       |
| return     | false      |
| sbyte      | false      |
| sealed     | false      |
| select     | true       |
| set        | true       |
| short      | false      |
| sizeof     | false      |
| stackalloc | false      |
| static     | false      |
| string     | false      |
| struct     | false      |
| switch     | false      |
| this       | false      |
| throw      | false      |
| true       | false      |
| try        | false      |
| typeof     | false      |
| uint       | false      |
| ulong      | false      |
| unchecked  | false      |
| unmanaged  | true       |
| unsafe     | false      |
| ushort     | false      |
| using      | false      |
| value      | true       |
| var        | true       |
| virtual    | false      |
| void       | false      |
| volatile   | false      |
| when       | true       |
| where      | true       |
| with       | true       |
| while      | false      |
| yield      | true       |
