| Syntax                                   | Meaning                                                                                                                                                |
| (* ... *)                                | Comment                                                                                                                                                |
| IF, THEN, ELSE and FI                    | IF statement declaration/enclosure                                                                                                                     |
| DO and OD                                | DO statement declaration/enclosure                                                                                                                     |
| CASE... OF                               | Case statement declaration/branches                                                                                                                    |
| RegisterName                             | Register Content                                                                                                                                       |
| [RegisterName]                           | Content of address specified in register                                                                                                               |
| ES:[DI]                                  | The contents of the location whose ES segment relative address is in register DI.                                                                      |
| [SI]                                     | The contents of the address contained in register SI relative to the SI register’s default segment (DS) or the overridden segment                      |
| (E)AB/(E)SI                              | Indicates the offset is read from the SI register if the address-size attribute is 16, from the ESI register if the address-size attribute is 32. |
| (E)AB/(R)SI                              | For a 64-bit register indicates that the offset is read from the 64-bit RSI register if the address-size attribute is 64                               |
| [MemoryOperand]                          | Indicates the operand's memory location is a segment-relative offset.                                                                                  |
| [SRC]                                    | Indicates that the content of the source operand is a segment-relative offset                                                                          |
| A ← B                                    | Assignment: The value of B is assigned to A.                                                                                                           |
| =                                        | Comparison predicate: equal                                                                                                                            |
| ≠                                        | Comparison predicate: not equal                                                                                                                        |
| >                                        | Comparison predicate: greater than                                                                                                                     |
| <                                        | Comparison predicate: less than                                                                                                                        |
| ≥                                        | Comparison predicate: greater or equal                                                                                                                 |
| ≤                                        | Comparison predicate: less or equal                                                                                                                    |
| « COUNT                                  | BitShift: The destination operand is shifted left by COUNT bits                                                                                        |
| » COUNT                                  | BitShift: The destination operand is shifted rigth by COUNT bits                                                                                       |
| MAXVL.XCR0.SSE                           | 128                                                                                                                                                    |
| MAXVL.XCR0.AVX                           | 256                                                                                                                                                    |
| MAXVL.XCR0.{ZMM_Hi256, Hi16_ZMM, OPMASK} | 512                                                                                                                                                    |
