| TypeName                        | Index   | Name                            | Hex       | BitString                       | Description
| RflagsBits                      | 0       | None                            | 0         | 000000000000                    | None
| RflagsBits                      | 1       | OF                              | 1         | 000000000001                    | OF
| RflagsBits                      | 2       | SF                              | 2         | 000000000010                    | SF
| RflagsBits                      | 3       | ZF                              | 4         | 000000000100                    | ZF
| RflagsBits                      | 4       | AF                              | 8         | 000000001000                    | AF
| RflagsBits                      | 5       | CF                              | 10        | 000000010000                    | CF
| RflagsBits                      | 6       | PF                              | 20        | 000000100000                    | PF
| RflagsBits                      | 7       | DF                              | 40        | 000001000000                    | DF
| RflagsBits                      | 8       | IF                              | 80        | 000010000000                    | IF
| RflagsBits                      | 9       | AC                              | 100       | 000100000000                    | AC
