| TypeName                        | Index   | Name                            | Hex       | BitString                       | Description
| EncoderFlags                    | 0       | None                            | 0         | 0000000000000000                | None
| EncoderFlags                    | 1       | B                               | 1         | 0000000000000001                | B
| EncoderFlags                    | 2       | X                               | 2         | 0000000000000010                | X
| EncoderFlags                    | 3       | R                               | 4         | 0000000000000100                | R
| EncoderFlags                    | 4       | W                               | 8         | 0000000000001000                | W
| EncoderFlags                    | 5       | ModRM                           | 10        | 0000000000010000                | ModRM
| EncoderFlags                    | 6       | Sib                             | 20        | 0000000000100000                | Sib
| EncoderFlags                    | 7       | REX                             | 40        | 0000000001000000                | REX
| EncoderFlags                    | 8       | P66                             | 80        | 0000000010000000                | P66
| EncoderFlags                    | 9       | P67                             | 100       | 0000000100000000                | P67
| EncoderFlags                    | 10      | R2                              | 200       | 0000001000000000                | R2
| EncoderFlags                    | 11      | Broadcast                       | 400       | 0000010000000000                | Broadcast
| EncoderFlags                    | 12      | HighLegacy8BitRegs              | 800       | 0000100000000000                | HighLegacy8BitRegs
| EncoderFlags                    | 13      | Displ                           | 1000      | 0001000000000000                | Displ
| EncoderFlags                    | 14      | PF0                             | 2000      | 0010000000000000                | PF0
| EncoderFlags                    | 15      | RegIsMemory                     | 4000      | 0100000000000000                | RegIsMemory
| EncoderFlags                    | 16      | VvvvvShift                      | 1b        | 0000000000011011                | VvvvvShift
| EncoderFlags                    | 17      | VvvvvMask                       | 1f        | 0000000000011111                | VvvvvMask
