| TypeName                        | Index   | Name                            | Hex       | BitString                       | Description
| LegacyOpKind                    | 96      | P                               | 60        |                                 | 
| LegacyOpKind                    | 97      | Q                               | 61        |                                 | 
| LegacyOpKind                    | 98      | RX                              | 62        |                                 | 
| LegacyOpKind                    | 99      | VX                              | 63        |                                 | 
| LegacyOpKind                    | 100     | WX                              | 64        |                                 | 
| LegacyOpKind                    | 101     | rDI                             | 65        |                                 | 
| LegacyOpKind                    | 102     | MRBX                            | 66        |                                 | 
| LegacyOpKind                    | 103     | ES                              | 67        |                                 | 
| LegacyOpKind                    | 104     | CS                              | 68        |                                 | 
| LegacyOpKind                    | 105     | SS                              | 69        |                                 | 
| LegacyOpKind                    | 106     | DS                              | 6a        |                                 | 
| LegacyOpKind                    | 107     | FS                              | 6b        |                                 | 
| LegacyOpKind                    | 108     | GS                              | 6c        |                                 | 
| LegacyOpKind                    | 109     | AL                              | 6d        |                                 | 
| LegacyOpKind                    | 110     | CL                              | 6e        |                                 | 
| LegacyOpKind                    | 111     | AX                              | 6f        |                                 | 
| LegacyOpKind                    | 112     | DX                              | 70        |                                 | 
| LegacyOpKind                    | 113     | EAX                             | 71        |                                 | 
| LegacyOpKind                    | 114     | RAX                             | 72        |                                 | 
| LegacyOpKind                    | 115     | ST                              | 73        |                                 | 
| LegacyOpKind                    | 116     | STi                             | 74        |                                 | 
| LegacyOpKind                    | 117     | r8_rb                           | 75        |                                 | 
| LegacyOpKind                    | 118     | r16_rw                          | 76        |                                 | 
| LegacyOpKind                    | 119     | r32_rd                          | 77        |                                 | 
| LegacyOpKind                    | 120     | r64_ro                          | 78        |                                 | 
