Seq      | Mnemonic
426      | Movhpd
427      | Movhps
428      | Movlhps
429      | Movlpd
430      | Movlps
431      | Movmskpd
432      | Movmskps
433      | Movntdq
434      | Movntdqa
435      | Movnti
436      | Movntpd
437      | Movntps
438      | Movntq
439      | Movntsd
440      | Movntss
441      | Movq
442      | Movq2dq
443      | Movsb
444      | Movsd
445      | Movshdup
446      | Movsldup
447      | Movsq
448      | Movss
449      | Movsw
450      | Movsx
451      | Movsxd
452      | Movupd
453      | Movups
454      | Movzx
455      | Mpsadbw
456      | Mul
457      | Mulpd
458      | Mulps
459      | Mulsd
460      | Mulss
461      | Mulx
462      | Mwait
463      | Mwaitx
464      | Neg
465      | Nop
466      | Not
467      | Or
468      | Orpd
469      | Orps
470      | Out
471      | Outsb
472      | Outsd
473      | Outsw
474      | Pabsb
475      | Pabsd
476      | Pabsw
477      | Packssdw
478      | Packsswb
479      | Packusdw
480      | Packuswb
481      | Paddb
482      | Paddd
483      | Paddq
484      | Paddsb
485      | Paddsw
486      | Paddusb
487      | Paddusw
488      | Paddw
489      | Palignr
490      | Pand
491      | Pandn
492      | Pause
493      | Pavgb
494      | Pavgusb
495      | Pavgw
496      | Pblendvb
497      | Pblendw
498      | Pclmulqdq
499      | Pcmpeqb
500      | Pcmpeqd
501      | Pcmpeqq
502      | Pcmpeqw
503      | Pcmpestri
504      | Pcmpestri64
505      | Pcmpestrm
506      | Pcmpestrm64
507      | Pcmpgtb
508      | Pcmpgtd
509      | Pcmpgtq
510      | Pcmpgtw
511      | Pcmpistri
512      | Pcmpistrm
513      | Pcommit
514      | Pconfig
515      | Pdep
516      | Pext
517      | Pextrb
518      | Pextrd
519      | Pextrq
520      | Pextrw
521      | Pf2id
522      | Pf2iw
523      | Pfacc
524      | Pfadd
525      | Pfcmpeq
526      | Pfcmpge
527      | Pfcmpgt
528      | Pfmax
529      | Pfmin
530      | Pfmul
531      | Pfnacc
532      | Pfpnacc
533      | Pfrcp
534      | Pfrcpit1
535      | Pfrcpit2
