| Sequence  | Id                                                | CodeInfo                      | Encoding    | FlowControl           | RflagsRead                          | RflagsUndefined                     | RflagsWritten                       | RflagsCleared                       | RflagsSet                           | RflagsInfo                          | Cpuid               | Flags               | OpInfo    
| 37        | Adc_rm16_r16                                      |                               | Legacy      | Next                  | CF                                  |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     |                     |                     | ReadWrite, Read
| 38        | Adc_rm32_r32                                      |                               | Legacy      | Next                  | CF                                  |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     | INTEL386            |                     | ReadWrite, Read
| 39        | Adc_rm64_r64                                      |                               | Legacy      | Next                  | CF                                  |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     | X64                 |                     | ReadWrite, Read
| 40        | Adc_r8_rm8                                        |                               | Legacy      | Next                  | CF                                  |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     |                     |                     | ReadWrite, Read
| 41        | Adc_r16_rm16                                      |                               | Legacy      | Next                  | CF                                  |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     |                     |                     | ReadWrite, Read
| 42        | Adc_r32_rm32                                      |                               | Legacy      | Next                  | CF                                  |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     | INTEL386            |                     | ReadWrite, Read
| 43        | Adc_r64_rm64                                      |                               | Legacy      | Next                  | CF                                  |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     | X64                 |                     | ReadWrite, Read
| 44        | Adc_AL_imm8                                       |                               | Legacy      | Next                  | CF                                  |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     |                     |                     | ReadWrite, Read
| 45        | Adc_AX_imm16                                      |                               | Legacy      | Next                  | CF                                  |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     |                     |                     | ReadWrite, Read
| 46        | Adc_EAX_imm32                                     |                               | Legacy      | Next                  | CF                                  |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     | INTEL386            |                     | ReadWrite, Read
| 47        | Adc_RAX_imm32                                     |                               | Legacy      | Next                  | CF                                  |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     | X64                 |                     | ReadWrite, Read
| 48        | Pushw_SS                                          | Push_2                        | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     |                     | StackInstruction    | Read      
| 49        | Pushd_SS                                          | Push_4                        | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | INTEL386            | StackInstruction    | Read      
