| TypeName                        | Index   | Name                            | Hex       | BitString                       | Description
| OpCodeHandlerKind               | 0       | Bitness                         | 0         |                                 | 
| OpCodeHandlerKind               | 1       | Bitness_DontReadModRM           | 1         |                                 | 
| OpCodeHandlerKind               | 2       | Invalid                         | 2         |                                 | 
| OpCodeHandlerKind               | 3       | Invalid_NoModRM                 | 3         |                                 | 
| OpCodeHandlerKind               | 4       | Invalid2                        | 4         |                                 | 
| OpCodeHandlerKind               | 5       | Dup                             | 5         |                                 | 
| OpCodeHandlerKind               | 6       | Null                            | 6         |                                 | 
| OpCodeHandlerKind               | 7       | HandlerReference                | 7         |                                 | 
| OpCodeHandlerKind               | 8       | ArrayReference                  | 8         |                                 | 
| OpCodeHandlerKind               | 9       | RM                              | 9         |                                 | 
| OpCodeHandlerKind               | 10      | Options3                        | a         |                                 | 
| OpCodeHandlerKind               | 11      | Options5                        | b         |                                 | 
| OpCodeHandlerKind               | 12      | Options_DontReadModRM           | c         |                                 | 
| OpCodeHandlerKind               | 13      | AnotherTable                    | d         |                                 | 
| OpCodeHandlerKind               | 14      | Group                           | e         |                                 | 
| OpCodeHandlerKind               | 15      | Group8x64                       | f         |                                 | 
| OpCodeHandlerKind               | 16      | Group8x8                        | 10        |                                 | 
| OpCodeHandlerKind               | 17      | MandatoryPrefix                 | 11        |                                 | 
| OpCodeHandlerKind               | 18      | MandatoryPrefix_F3_F2           | 12        |                                 | 
| OpCodeHandlerKind               | 19      | LegacyMandatoryPrefix_F3_F2     | 13        |                                 | 
| OpCodeHandlerKind               | 20      | MandatoryPrefix_NoModRM         | 14        |                                 | 
| OpCodeHandlerKind               | 21      | MandatoryPrefix3                | 15        |                                 | 
| OpCodeHandlerKind               | 22      | D3NOW                           | 16        |                                 | 
| OpCodeHandlerKind               | 23      | EVEX                            | 17        |                                 | 
| OpCodeHandlerKind               | 24      | VEX2                            | 18        |                                 | 
| OpCodeHandlerKind               | 25      | VEX3                            | 19        |                                 | 
| OpCodeHandlerKind               | 26      | XOP                             | 1a        |                                 | 
| OpCodeHandlerKind               | 27      | AL_DX                           | 1b        |                                 | 
| OpCodeHandlerKind               | 28      | Ap                              | 1c        |                                 | 
| OpCodeHandlerKind               | 29      | B_BM                            | 1d        |                                 | 
| OpCodeHandlerKind               | 30      | B_Ev                            | 1e        |                                 | 
| OpCodeHandlerKind               | 31      | B_MIB                           | 1f        |                                 | 
| OpCodeHandlerKind               | 32      | BM_B                            | 20        |                                 | 
| OpCodeHandlerKind               | 33      | BranchIw                        | 21        |                                 | 
| OpCodeHandlerKind               | 34      | BranchSimple                    | 22        |                                 | 
| OpCodeHandlerKind               | 35      | C_R_3a                          | 23        |                                 | 
| OpCodeHandlerKind               | 36      | C_R_3b                          | 24        |                                 | 
| OpCodeHandlerKind               | 37      | DX_AL                           | 25        |                                 | 
