| TypeName                        | Index   | Name                            | Hex       | BitString                       | Description
| RegisterFlags                   | 0       | None                            | 0         | 00000000000000000000            | None
| RegisterFlags                   | 1       | SegmentRegister                 | 1         | 00000000000000000001            | SegmentRegister
| RegisterFlags                   | 2       | GPR                             | 2         | 00000000000000000010            | GPR
| RegisterFlags                   | 3       | GPR8                            | 4         | 00000000000000000100            | GPR8
| RegisterFlags                   | 4       | GPR16                           | 8         | 00000000000000001000            | GPR16
| RegisterFlags                   | 5       | GPR32                           | 10        | 00000000000000010000            | GPR32
| RegisterFlags                   | 6       | GPR64                           | 20        | 00000000000000100000            | GPR64
| RegisterFlags                   | 7       | XMM                             | 40        | 00000000000001000000            | XMM
| RegisterFlags                   | 8       | YMM                             | 80        | 00000000000010000000            | YMM
| RegisterFlags                   | 9       | ZMM                             | 100       | 00000000000100000000            | ZMM
| RegisterFlags                   | 10      | VectorRegister                  | 200       | 00000000001000000000            | VectorRegister
| RegisterFlags                   | 11      | IP                              | 400       | 00000000010000000000            | IP
| RegisterFlags                   | 12      | K                               | 800       | 00000000100000000000            | K
| RegisterFlags                   | 13      | BND                             | 1000      | 00000001000000000000            | BND
| RegisterFlags                   | 14      | CR                              | 2000      | 00000010000000000000            | CR
| RegisterFlags                   | 15      | DR                              | 4000      | 00000100000000000000            | DR
| RegisterFlags                   | 16      | TR                              | 8000      | 00001000000000000000            | TR
| RegisterFlags                   | 17      | ST                              | 10000     | 00010000000000000000            | ST
| RegisterFlags                   | 18      | MM                              | 20000     | 00100000000000000000            | MM
