| Opcode                      | Instruction                            | Op/En | 64/32 bit Mode Support | CPUID Feature Flag | Description                                                                                                        |
| F2 0F 70 / r ib             | PSHUFLW xmm1, xmm2/m128, imm8          | A     | V/V                    | SSE2               | Shuffle the low words in xmm2/m128 based on the encoding in imm8 and store the result in xmm1 .                    |
| VEX.128.F2.0F.WIG 70 /r ib  | VPSHUFLW xmm1, xmm2/m128, imm8         | A     | V/V                    | AVX                | Shuffle the low words in xmm2/m128 based on the encoding in imm8 and store the result in xmm1 .                    |
| VEX.256.F2.0F.WIG 70 /r ib  | VPSHUFLW ymm1, ymm2/m256, imm8         | A     | V/V                    | AVX2               | Shuffle the low words in ymm2/m256 based on the encoding in imm8 and store the result in ymm1 .                    |
| EVEX.128.F2.0F.WIG 70 /r ib | VPSHUFLW xmm1 {k1}{z}, xmm2/m128, imm8 | B     | V/V                    | AVX512VL AVX512BW  | Shuffle the low words in xmm2/m128 based on the encoding in imm8 and store the result in xmm1 under write mask k1. |
| EVEX.256.F2.0F.WIG 70 /r ib | VPSHUFLW ymm1 {k1}{z}, ymm2/m256, imm8 | B     | V/V                    | AVX512VL AVX512BW  | Shuffle the low words in ymm2/m256 based on the encoding in imm8 and store the result in ymm1 under write mask k1. |
| EVEX.512.F2.0F.WIG 70 /r ib | VPSHUFLW zmm1 {k1}{z}, zmm2/m512, imm8 | B     | V/V                    | AVX512BW           | Shuffle the low words in zmm2/m512 based on the encoding in imm8 and store the result in zmm1 under write mask k1. |
