# AsmIdEFlagCC - Table B-1 Intel Vol1
---------------------------------------------------
| Identifier | Value | Description             |
| O          | 0000  | Overflow                |
| NO         | 0001  | No overflow             |
| B          | 0010  | Below                   |
| NB         | 0011  | Not Below               |
| E          | 0100  | Equal                   |
| NE         | 0101  | Not Equal               |
| BE         | 0110  | Below or Equal          |
| NBE        | 0111  | Neither Below nor Equal |
| S          | 1000  | Sign                    |
| NS         | 1001  | No Sign                 |
| P          | 1010  | Parity                  |
| NP         | 1011  | No Parity               |
| L          | 1100  | Less                    |
| NL         | 1101  | Not Less                |
| LE         | 1110  | Less or Equal           |
| NLE        | 1111  | Neither less nor equal  |
