|   | 0a     | 0b | 1a     | 1b | 2a      | 2b | 3a      | 3b | 4a      | 4b | 5a      | 5b | 6       | 7       |
-----------------------------------------------------------------------------------------------------------------
| 0 | Eb     | Gb | Ev     | Gv | Gb      | Eb | Gv      | Ev | AL      | Ib | rAX     | Iz | ES      | ES      |
| 1 | Eb     | Gb | Ev     | Gv | Gb      | Eb | Gv      | Ev | AL      | Ib | rAX     | Iz | SS      | SS      |
| 2 | Eb     | Gb | Ev     | Gv | Gb      | Eb | Gv      | Ev | AL      | Ib | rAX     | Iz | ES      |         |
| 3 | Eb     | Gb | Ev     | Gv | Gb      | Eb | Gv      | Ev | AL      | Ib | rAX     | Iz | SS      |         |
| 4 | eAX    |    | eCX    |    | eDX     |    | eBX     |    | eSP     |    | eBP     |    | eSI     | eDI     |
| 5 | rAX/r8 |    | rCX/r9 |    | rDX/r10 |    | rBX/r11 |    | rSP/r12 |    | rBP/r13 |    | rSI/r14 | rDI/r15 |
| 6 |        |    |        |    |         |    |         |    |         |    |         |    |         |         |
| 7 | Jb     |    | Jb     |    | Jb      |    | Jb      |    | Jb      |    | Jb      |    | Jb      | Jb      |
| 8 |        |    |        |    |         |    |         |    |         |    |         |    |         |         |
| 9 |        |    |        |    |         |    |         |    |         |    |         |    |         |         |
| A |        |    |        |    |         |    |         |    |         |    |         |    |         |         |
| B |        |    |        |    |         |    |         |    |         |    |         |    |         |         |
| C |        |    |        |    |         |    |         |    |         |    |         |    |         |         |
| D |        |    |        |    |         |    |         |    |         |    |         |    |         |         |
| E |        |    |        |    |         |    |         |    |         |    |         |    |         |         |
| F |        |    |        |    |         |    |         |    |         |    |         |    |         |         |

|   | 0    | 1    | 2    | 3    | 4    | 5    | 6    | 7    |
-------------------------------------------------------------
| 0 | ADD  | ADD  | ADD  | ADD  | ADD  | ADD  | PUSH | POP  |
| 1 | ADC  | ADC  | ADC  | ADC  | ADC  | ADC  | PUSH | POP  |
| 2 | AND  | AND  | AND  | AND  | AND  | AND  |      |      |
| 3 | XOR  | XOR  | XOR  | XOR  | XOR  | XOR  |      |      |
| 4 | INC  | INC  | INC  | INC  | INC  | INC  | INC  | INC  |
| 5 | PUSH | PUSH | PUSH | PUSH | PUSH | PUSH | PUSH | PUSH |
| 6 |      |      |      |      |      |      |      |      |
| 7 | JO   | JNO  | JB   | JNB  | JZ   | JNZ  | JBE  | JNBE |
| 8 |      |      |      |      |      |      |      |      |
| 9 |      |      |      |      |      |      |      |      |
| A |      |      |      |      |      |      |      |      |
| B |      |      |      |      |      |      |      |      |
| C |      |      |      |      |      |      |      |      |
| D |      |      |      |      |      |      |      |      |
| E |      |      |      |      |      |      |      |      |
| F |      |      |      |      |      |      |      |      |
